"LAT","LON","ship_type","SHIPNAME","DATETIME","DIFFERENCE","ID","ship_type_and_name","DISTANCE","TIME","TYPE"
59.90444,30.08574,"Cargo","BLUEBILL",2016-12-18 16:57:04,120,299103,"Cargo BLUEBILL",760.455885521036,121,"arrival"
54.78593,18.98923,"Cargo","BOGDAN",2016-12-14 10:09:01,121,323687,"Cargo BOGDAN",NA,NA,"departure"
54.38472,18.66143,"Cargo","BOGDAN",2016-12-14 02:51:02,26279,323688,"Cargo BOGDAN",49415.317785921,26279,"arrival"
55.7036,21.1275,"Cargo","BOMAR MOON",2016-12-15 05:17:06,120,327838,"Cargo BOMAR MOON",NA,NA,"departure"
55.70339,21.12785,"Cargo","BOMAR MOON",2016-12-15 05:15:06,120,327839,"Cargo BOMAR MOON",32.0697407123641,120,"arrival"
59.90339,30.09083,"Cargo","BOMAR VALOUR",2016-12-18 14:37:04,120,330151,"Cargo BOMAR VALOUR",NA,NA,"departure"
59.90634,30.07622,"Cargo","BOMAR VALOUR",2016-12-18 14:35:04,119,330152,"Cargo BOMAR VALOUR",879.161527039375,120,"arrival"
59.91208,30.04815,"Cargo","BOMAR VANQUISH",2016-12-13 18:41:04,120,330165,"Cargo BOMAR VANQUISH",NA,NA,"departure"
59.90863,30.06465,"Cargo","BOMAR VANQUISH",2016-12-13 18:39:05,118,330166,"Cargo BOMAR VANQUISH",997.749500353372,119,"arrival"
59.90926,30.06262,"Cargo","BOREAS",2016-12-20 10:03:04,119,332371,"Cargo BOREAS",NA,NA,"departure"
59.9026,30.09501,"Cargo","BOREAS",2016-12-20 09:55:04,479,332372,"Cargo BOREAS",1954.05100767905,480,"arrival"
55.73097,20.88806,"Cargo","BOTNIA SEAWAYS",2016-12-15 10:23:07,119,339015,"Cargo BOTNIA SEAWAYS",NA,NA,"departure"
55.73257,20.92661,"Cargo","BOTNIA SEAWAYS",2016-12-15 10:21:07,120,339016,"Cargo BOTNIA SEAWAYS",2422.88613310341,120,"arrival"
55.72371,21.09603,"Cargo","BRIGGA",2016-12-15 22:27:07,239,344466,"Cargo BRIGGA",NA,NA,"departure"
55.72816,21.07761,"Cargo","BRIGGA",2016-12-15 22:25:06,121,344467,"Cargo BRIGGA",1256.51571555802,121,"arrival"
59.90792,30.06747,"Cargo","BRIN NAVOLOK",2016-12-19 16:31:04,128,345017,"Cargo BRIN NAVOLOK",NA,NA,"departure"
59.91186,30.04835,"Cargo","BRIN NAVOLOK",2016-12-19 16:25:04,359,345018,"Cargo BRIN NAVOLOK",1153.73169564158,360,"arrival"
54.50609,18.98727,"Cargo","CALISTO",2016-12-19 02:37:02,119,373055,"Cargo CALISTO",NA,NA,"departure"
59.921,30.0035,"Cargo","CALISTO",2016-12-17 09:49:03,146879,373056,"Cargo CALISTO",894802.444721743,146879,"arrival"
57.94847,12.08942,"Cargo","CAROLINA",2016-12-20 08:37:07,118,375415,"Cargo CAROLINA",NA,NA,"departure"
57.89535,12.03937,"Cargo","CAROLINA",2016-12-20 08:35:16,109,375416,"Cargo CAROLINA",6612.27038091129,111,"arrival"
54.52669,18.56057,"Cargo","CATHARINA SCHULTE",2016-12-16 12:57:07,121,379584,"Cargo CATHARINA SCHULTE",NA,NA,"departure"
54.53396,18.55884,"Cargo","CATHARINA SCHULTE",2016-12-16 12:55:07,120,379585,"Cargo CATHARINA SCHULTE",816.971733484648,120,"arrival"
55.64794,21.16266,"Cargo","CEMISLE",2016-12-14 01:27:06,120,386648,"Cargo CEMISLE",NA,NA,"departure"
55.65001,21.15734,"Cargo","CEMISLE",2016-12-14 01:05:06,1320,386649,"Cargo CEMISLE",405.913833537145,1320,"arrival"
55.82241,20.86578,"Cargo","CEMSOL",2016-12-18 15:35:06,121,386661,"Cargo CEMSOL",NA,NA,"departure"
55.81088,20.8829,"Cargo","CEMSOL",2016-12-18 15:33:07,119,386662,"Cargo CEMSOL",1671.50326853927,119,"arrival"
59.90677,30.07293,"Cargo","CHARLOTTA B",2016-12-20 04:39:12,112,395792,"Cargo CHARLOTTA B",NA,NA,"departure"
59.91285,30.04415,"Cargo","CHARLOTTA B",2016-12-20 04:35:03,248,395793,"Cargo CHARLOTTA B",1743.02528565388,249,"arrival"
59.91104,30.05359,"Cargo","CHAROITE",2016-12-20 08:57:04,119,395803,"Cargo CHAROITE",NA,NA,"departure"
59.90694,30.07371,"Cargo","CHAROITE",2016-12-20 08:55:04,119,395804,"Cargo CHAROITE",1212.16129134736,120,"arrival"
59.9109,30.05385,"Cargo","CHRISTOPHER",2016-12-15 10:21:05,119,402806,"Cargo CHRISTOPHER",NA,NA,"departure"
59.90701,30.07304,"Cargo","CHRISTOPHER",2016-12-15 10:19:04,120,402807,"Cargo CHRISTOPHER",1155.27623775145,121,"arrival"
57.62616,11.68129,"Cargo","CITY OF ROME",2016-12-15 04:29:06,120,403961,"Cargo CITY OF ROME",NA,NA,"departure"
57.61467,11.66392,"Cargo","CITY OF ROME",2016-12-15 04:27:05,121,403962,"Cargo CITY OF ROME",1645.6804507862,121,"arrival"
59.91029,30.05716,"Cargo","CITY OF ROTTERDAM",2016-12-13 21:37:05,119,403973,"Cargo CITY OF ROTTERDAM",NA,NA,"departure"
59.90517,30.08229,"Cargo","CITY OF ROTTERDAM",2016-12-13 21:35:05,119,403974,"Cargo CITY OF ROTTERDAM",1514.00724518494,120,"arrival"
59.91145,30.05126,"Cargo","CONMAR AVENUE",2016-12-15 01:15:05,119,409503,"Cargo CONMAR AVENUE",NA,NA,"departure"
